Forecast Uncertainty Values
1.56822
2.33173
1.59793
1.56414
2.43601
1.86161
1.69142
1.65976
1.5619
1.91061
1.53575
1.69877
1.53641
1.60935
1.61017
1.58971
2.10772
1.67478
2.20226
1.76987
2.25513
2.30614
1.94887
1.62742
2.15808
1.96003
2.04992
1.95657
1.97193
1.77898
2.08615
1.84574
2.13021
1.54903
1.66037
1.61062
2.19185
1.56021
1.86105
1.98468
1.66621
1.81425
3.02484
3.15794
3.15925
2.36372
1.52865
1.63325
2.60044
1.77259
1.53141
2.01263
1.54002
1.6045
1.77741
1.58518
1.67619
1.52906
2.9547
1.5289
1.67186
1.54516
1.6248
1.79263
1.5289
1.6048
1.95657
2.3293
1.54474
2.64601
1.66459
1.86696
2.29236
2.25927
2.14361
2.04696
1.99663
1.95733
1.70758
2.18192
1.97106
1.88974
2.05856
2.28462
2.12187
2.3557
2.2554
1.83662
1.55813
2.06243
1.73576
1.64682
2.24664
2.23451
1.99674
1.88305
1.68104
1.55521
1.55223
1.52934
2.30062
1.79322
1.89983
1.66273
2.21942
1.68278
1.7363
1.58579
1.55292
1.78919
1.53741
1.67199
1.91378
1.72964
1.62097
1.53108
1.53944
1.69912
1.89103
2.15833
1.65133
2.19951
1.65788
2.3623
2.47644
2.97027
2.26953
2.20787
1.68826
1.57639
2.28067
1.70587
2.47042
2.38206
2.89522
1.70627
2.63189
2.43127
1.85062
2.2057
1.76398
1.62548
2.21811
1.71216
1.55434
1.53375
1.56361
2.76266
3.23781
3.237
2.13169
2.18868
2.22784
2.17747
2.04724
1.653
2.08698
2.00842
1.92461
2.26606
2.15547
2.16888
2.19295
1.97455
1.63182
3.31695
1.88315
1.575
1.62916
1.84166
1.55412
1.66949
2.09122
1.64937
3.117
2.48834
2.74923
2.65391
3.12389
2.05608
1.97673
2.19072
2.08639
2.08977
1.90921
2.18448
2.08869
2.1744
2.15328
1.96451
2.20868
2.1221
1.98348
2.26994
1.67064
1.65573
1.56795
2.302
1.90968
1.94961
1.66991
1.75792
1.55631
1.75072
1.7957
1.60651
1.98042
1.77118
1.79277
2.17444
1.5503
2.50571
1.78033
1.54228
1.58092
1.70248
1.64816
1.95085
1.57903
1.95325
1.65883
1.55619
1.52852
1.59946
1.9177
1.64185
2.02512
2.39481
2.22103
1.67747
1.7895
1.93766
2.20279
2.80809
1.64102
2.75625
3.48835
3.36583
3.40613
3.30016
1.97254
2.87884
3.05188
2.74612
2.56204
2.5197
2.60794
2.42232
2.62588
2.37087
2.54314
2.23148
2.08108
2.19206
2.24985
2.12538
2.20659
1.93409
2.09107
2.1464
1.93149
1.83351
1.86858
2.91856
2.80255
1.54513
1.85951
2.09648
1.55385
1.57723
1.73833
2.28436
2.31335
2.04575
2.31547
1.55808
2.24274
1.79877
2.10446
1.66161
1.80882
2.26375
1.65557
1.55086
1.98925
1.86744
1.62993
1.56027
1.61876
1.72737
2.0811
2.24906
2.20232
2.12567
2.18133
2.74828
2.83123
2.84234
1.53625
2.28189
1.88472
1.92015
2.22257
2.35061
1.61541
3.18982
3.29631
2.04806
1.60394
1.90716
2.26991
1.98266
2.25848
2.32331
2.30496
1.65388
2.1672
1.78814
1.81005
2.54537
2.88887
3.19564
2.08112
2.85262
2.34306
2.24156
2.52293
1.56534
2.24664
2.31037
1.53232
1.97174
2.76562
3.0313
1.5381
2.15897
2.18746
2.29613
2.10468
2.06133
2.10512
2.27469
2.14048
1.52883
1.60559
1.61942
1.65093
2.44044
2.13952
2.12888
2.08653
1.84495
1.94105
1.899
2.22131
1.71047
1.79625
1.61463
2.96586
1.60791
2.25147
2.08817
2.08287
2.09424
2.20773
2.09932
1.85066
2.08284
2.18536
1.65287
1.85816
1.68352
1.64401
2.17771
2.24419
1.6772
2.14794
2.06201
2.09878
2.19933
2.26673
1.70103
1.57841
1.53082
1.77793
1.59178
1.59701
1.59681
1.54137
1.61127
1.94143
1.52975
1.52975
2.22061
2.41655
2.01777
1.66383
1.5292
1.61841
2.0431
1.52907
1.67538
1.6935
1.61772
1.80002
1.77935
1.60705
1.91868
1.92761
1.74561
2.18996
1.96472
2.01268
1.79752
2.23678
2.14576
2.20244
2.22722
2.10307
1.55628
2.06517
1.54643
1.52906
2.84611
2.9135
2.16035
2.19813
2.09871
2.00273
2.17353
1.99995
2.11529
1.93697
1.619
1.8114
1.5859
2.33732
2.20071
2.02686
1.62311
2.28042
2.4467
1.8024
2.13506
1.81974
1.67979
2.07419
1.9926
2.18446
1.75534
1.52925
2.08932
2.04853
1.92176
2.13294
1.77271
2.22405
2.40329
2.03174
1.65184
2.16791
2.03661
3.00889
3.09879
2.98536
3.27087
2.15543
2.15596
1.64903
2.13284
1.66643
1.55834
1.83957
1.54591
1.67167
1.61295
1.66235
2.23867
1.67631
2.21207
1.61096
1.96551
1.78685
2.02274
2.07019
1.93117
1.94118
2.2042
1.71595
2.12077
2.10963
1.94329
2.21396
2.25735
2.15393
2.00217
2.2999
2.06832
2.12354
1.88162
1.80185
2.28554
2.23489
2.228
2.27852
2.1579
1.80985
2.17716
1.86904
1.85914
2.16736
1.56531
1.58862
2.66879
2.94832
2.8835
2.12113
2.90046
2.65104
2.43171
3.17653
2.45915
2.34792
3.20014
3.09177
3.27289
3.32564
1.60053
1.9984
2.2415
1.60871
1.64694
1.61528
1.77048
1.57803
1.64095
1.52852
2.78659
2.89414
2.15299
1.53293
1.67945
2.04569
1.80883
2.19552
2.61983
2.96314
3.16298
1.69484
1.84693
2.18658
2.06616
1.71936
1.56022
1.52855
1.54133
1.70704
2.23381
2.2285
1.57844
1.80886
1.56727
1.65124
1.68172
1.5368
2.51141
1.52854
1.72136
2.83336
1.77472
1.62272
1.68504
2.20605
2.00505
